,dag,mccabe,dag_nodes,dag_edges,p_conditional,p_edge,p_invert_edge,structural_hamming_distance,total_tests,n_tests,num_jobs,new_mccabe,mutation_score,true_positives,true_negatives,false_positives,false_negatives
0,original_dag,36,30,317,0.5,0.75,0.0,0,2170,5,440,8,0.9977220956719818,837.0,186177.0,3494.0,18.0
1,misspecified_dag_75,36,30,162,0.5,0.75,0.75,307,2170,5,440,8,0.1845102505694761,139.0,72296.0,117933.0,158.0
2,misspecified_dag_50,36,30,224,0.5,0.75,0.5,195,2170,5,440,8,0.2164009111617312,153.0,101695.0,88528.0,150.0
3,misspecified_dag_25,36,30,268,0.5,0.75,0.25,99,2170,5,440,8,0.3325740318906606,225.0,126207.0,63918.0,176.0
4,misspecified_dag_100,36,30,107,0.5,0.75,1.0,424,2170,5,440,8,0.1070615034168565,83.0,43378.0,146928.0,137.0
5,original_dag,57,30,317,1.0,0.75,0.0,0,2170,5,525,29,0.9675572519083969,1444.0,202916.0,22866.0,190.0
6,misspecified_dag_75,57,30,163,1.0,0.75,0.75,310,2170,5,525,29,0.4198473282442748,640.0,90536.0,135729.0,511.0
7,misspecified_dag_50,57,30,222,1.0,0.75,0.5,203,2170,5,525,29,0.45610687022900764,581.0,123083.0,103363.0,389.0
8,misspecified_dag_25,57,30,263,1.0,0.75,0.25,108,2170,5,525,29,0.5572519083969466,792.0,141212.0,84836.0,576.0
9,misspecified_dag_100,57,30,111,1.0,0.75,1.0,428,2170,5,525,29,0.30916030534351147,548.0,64428.0,161754.0,686.0
10,original_dag,38,30,435,0.25,1.0,0.0,0,4350,10,436,9,0.9862068965517241,770.0,181495.0,6901.0,59.0
11,misspecified_dag_75,38,30,107,0.25,1.0,0.75,328,4350,10,436,9,0.07816091954022988,36.0,47379.0,141737.0,73.0
12,misspecified_dag_50,38,30,226,0.25,1.0,0.5,209,4350,10,436,9,0.27816091954022987,164.0,99016.0,89996.0,49.0
13,misspecified_dag_25,38,30,331,0.25,1.0,0.25,104,4350,10,436,9,0.3310344827586207,207.0,143343.0,45612.0,63.0
14,misspecified_dag_100,38,30,0,0.25,1.0,1.0,435,4350,10,436,9,0.0,0.0,1740.0,187361.0,124.0
15,original_dag,42,30,435,0.5,1.0,0.0,0,4350,10,436,13,1.0,796.0,186689.0,1726.0,14.0
16,misspecified_dag_75,42,30,113,0.5,1.0,0.75,322,4350,10,436,13,0.05517241379310345,30.0,50865.0,138257.0,73.0
17,misspecified_dag_50,42,30,242,0.5,1.0,0.5,193,4350,10,436,13,0.20229885057471264,133.0,104702.0,84308.0,82.0
18,misspecified_dag_25,42,30,341,0.5,1.0,0.25,94,4350,10,436,13,0.28735632183908044,306.0,147594.0,41250.0,75.0
19,misspecified_dag_100,42,30,0,0.5,1.0,1.0,435,4350,10,436,13,0.0022988505747126436,1.0,1739.0,187398.0,87.0
20,original_dag,45,30,339,0.5,0.75,0.0,0,4340,10,464,17,0.9956803455723542,1300.0,197327.0,2307.0,8.0
21,misspecified_dag_75,45,30,145,0.5,0.75,0.75,326,4340,10,464,17,0.15550755939524838,117.0,66555.0,134101.0,169.0
22,misspecified_dag_50,45,30,202,0.5,0.75,0.5,221,4340,10,464,17,0.23110151187904968,162.0,93364.0,107199.0,217.0
23,misspecified_dag_25,45,30,266,0.5,0.75,0.25,121,4340,10,464,17,0.31965442764578833,292.0,126570.0,73835.0,245.0
24,misspecified_dag_100,45,30,88,0.5,0.75,1.0,427,4340,10,464,17,0.09287257019438445,73.0,39282.0,161359.0,228.0
25,original_dag,48,30,119,0.75,0.25,0.0,0,429,1,544,22,0.6795580110497238,979.0,214592.0,17295.0,81.0
26,misspecified_dag_75,48,30,238,0.75,0.25,0.75,295,429,1,544,22,0.3314917127071823,377.0,93019.0,139029.0,522.0
27,misspecified_dag_50,48,30,209,0.75,0.25,0.5,198,429,1,544,22,0.39226519337016574,535.0,124898.0,106946.0,568.0
28,misspecified_dag_25,48,30,172,0.75,0.25,0.25,101,429,1,544,22,0.5377532228360957,620.0,155221.0,76718.0,388.0
29,misspecified_dag_100,48,30,276,0.75,0.25,1.0,395,429,1,544,22,0.24677716390423574,324.0,78411.0,153683.0,529.0
30,original_dag,53,30,327,0.75,0.75,0.0,0,2175,5,521,24,0.9788461538461538,1321.0,215519.0,9271.0,89.0
31,misspecified_dag_75,53,30,154,0.75,0.75,0.75,323,2175,5,521,24,0.2403846153846154,223.0,80377.0,145288.0,312.0
32,misspecified_dag_50,53,30,209,0.75,0.75,0.5,224,2175,5,521,24,0.2326923076923077,239.0,106881.0,118778.0,302.0
33,misspecified_dag_25,53,30,266,0.75,0.75,0.25,109,2175,5,521,24,0.40576923076923077,364.0,148356.0,77197.0,283.0
34,misspecified_dag_100,53,30,108,0.75,0.75,1.0,435,2175,5,521,24,0.13076923076923078,120.0,53960.0,171876.0,244.0
35,original_dag,43,30,316,0.5,0.75,0.0,0,2145,5,468,17,0.9785867237687366,1177.0,190760.0,8337.0,69.0
36,misspecified_dag_75,43,30,151,0.5,0.75,0.75,289,2145,5,468,17,0.21841541755888652,242.0,74011.0,125870.0,220.0
37,misspecified_dag_50,43,30,214,0.5,0.75,0.5,182,2145,5,468,17,0.31263383297644537,267.0,103407.0,96406.0,263.0
38,misspecified_dag_25,43,30,268,0.5,0.75,0.25,88,2145,5,468,17,0.4346895074946467,488.0,134942.0,64653.0,260.0
39,misspecified_dag_100,43,30,91,0.5,0.75,1.0,407,2145,5,468,17,0.1777301927194861,183.0,40446.0,159331.0,383.0
40,original_dag,51,30,435,0.75,1.0,0.0,0,2175,5,436,22,0.9701149425287356,807.0,179718.0,8669.0,31.0
41,misspecified_dag_75,51,30,122,0.75,1.0,0.75,313,2175,5,436,22,0.17471264367816092,164.0,56821.0,132075.0,165.0
42,misspecified_dag_50,51,30,233,0.75,1.0,0.5,202,2175,5,436,22,0.22298850574712645,193.0,99857.0,88957.0,218.0
43,misspecified_dag_25,51,30,344,0.75,1.0,0.25,91,2175,5,436,22,0.3793103448275862,389.0,146641.0,42050.0,145.0
44,misspecified_dag_100,51,30,0,0.75,1.0,1.0,435,2175,5,436,22,0.06666666666666667,140.0,11170.0,177770.0,145.0
45,original_dag,48,30,103,0.75,0.25,0.0,0,2125,5,552,23,0.969147005444646,1829.0,227938.0,4334.0,74.0
46,misspecified_dag_75,48,30,217,0.75,0.25,0.75,284,2125,5,552,23,0.3720508166969147,427.0,90488.0,142533.0,727.0
47,misspecified_dag_50,48,30,179,0.75,0.25,0.5,194,2125,5,552,23,0.5027223230490018,645.0,118922.0,114051.0,557.0
48,misspecified_dag_25,48,30,135,0.75,0.25,0.25,90,2125,5,552,23,0.6642468239564429,988.0,157700.0,74925.0,562.0
49,misspecified_dag_100,48,30,269,0.75,0.25,1.0,372,2125,5,552,23,0.16696914700544466,247.0,69179.0,164001.0,748.0
50,original_dag,38,30,323,0.25,0.75,0.0,0,4340,10,462,10,0.9956616052060737,985.0,197706.0,1377.0,6.0
51,misspecified_dag_75,38,30,159,0.25,0.75,0.75,334,4340,10,462,10,0.1019522776572668,60.0,66324.0,133491.0,199.0
52,misspecified_dag_50,38,30,226,0.25,0.75,0.5,201,4340,10,462,10,0.24945770065075923,159.0,100800.0,98938.0,177.0
53,misspecified_dag_25,38,30,269,0.25,0.75,0.25,96,4340,10,462,10,0.3774403470715835,253.0,138047.0,61605.0,169.0
54,misspecified_dag_100,38,30,109,0.25,0.75,1.0,432,4340,10,462,10,0.0824295010845987,53.0,42820.0,157065.0,136.0
55,original_dag,49,30,115,1.0,0.25,0.0,0,2100,5,569,25,0.9665492957746479,1832.0,228776.0,7891.0,61.0
56,misspecified_dag_75,49,30,215,1.0,0.25,0.75,274,2100,5,569,25,0.4242957746478873,487.0,86985.0,150295.0,793.0
57,misspecified_dag_50,49,30,190,1.0,0.25,0.5,185,2100,5,569,25,0.4876760563380282,622.0,116386.0,120808.0,744.0
58,misspecified_dag_25,49,30,151,1.0,0.25,0.25,90,2100,5,569,25,0.7130281690140845,1126.0,160754.0,76205.0,475.0
59,misspecified_dag_100,49,30,246,1.0,0.25,1.0,361,2100,5,569,25,0.2130281690140845,327.0,66697.0,170400.0,1136.0
60,original_dag,57,30,317,1.0,0.75,0.0,0,434,1,519,29,0.7104247104247104,795.0,161339.0,62136.0,542.0
61,misspecified_dag_75,57,30,162,1.0,0.75,0.75,307,434,1,519,29,0.4420849420849421,563.0,91641.0,132032.0,576.0
62,misspecified_dag_50,57,30,224,1.0,0.75,0.5,195,434,1,519,29,0.4189189189189189,534.0,117052.0,106653.0,573.0
63,misspecified_dag_25,57,30,268,1.0,0.75,0.25,99,434,1,519,29,0.5115830115830116,659.0,134021.0,89518.0,614.0
64,misspecified_dag_100,57,30,107,1.0,0.75,1.0,424,434,1,519,29,0.3359073359073359,516.0,67342.0,156282.0,672.0
65,original_dag,37,30,435,0.25,1.0,0.0,0,2175,5,436,8,1.0,606.0,188619.0,0.0,0.0
66,misspecified_dag_75,37,30,114,0.25,1.0,0.75,321,2175,5,436,8,0.04827586206896552,22.0,50873.0,138271.0,59.0
67,misspecified_dag_50,37,30,225,0.25,1.0,0.5,210,2175,5,436,8,0.1310344827586207,111.0,97764.0,91280.0,70.0
68,misspecified_dag_25,37,30,325,0.25,1.0,0.25,110,2175,5,436,8,0.22758620689655173,148.0,137747.0,51224.0,106.0
69,misspecified_dag_100,37,30,0,0.25,1.0,1.0,435,2175,5,436,8,0.07126436781609195,37.0,3008.0,186106.0,74.0
70,original_dag,38,30,328,0.25,0.75,0.0,0,4350,10,468,9,0.9957173447537473,925.0,200819.0,1389.0,12.0
71,misspecified_dag_75,38,30,167,0.25,0.75,0.75,329,4350,10,468,9,0.10492505353319058,67.0,69983.0,132898.0,197.0
72,misspecified_dag_50,38,30,241,0.25,0.75,0.5,207,4350,10,468,9,0.21413276231263384,153.0,108658.0,94190.0,144.0
73,misspecified_dag_25,38,30,299,0.25,0.75,0.25,105,4350,10,468,9,0.47109207708779444,489.0,147083.0,55429.0,144.0
74,misspecified_dag_100,38,30,107,0.25,0.75,1.0,435,4350,10,468,9,0.17987152034261242,262.0,48773.0,153880.0,230.0
75,original_dag,41,30,317,0.5,0.75,0.0,0,434,1,478,13,0.779874213836478,729.0,162405.0,43400.0,484.0
76,misspecified_dag_75,41,30,163,0.5,0.75,0.75,310,434,1,478,13,0.2348008385744235,270.0,75573.0,130773.0,402.0
77,misspecified_dag_50,41,30,222,0.5,0.75,0.5,203,434,1,478,13,0.36058700209643607,417.0,104523.0,101685.0,393.0
78,misspecified_dag_25,41,30,263,0.5,0.75,0.25,108,434,1,478,13,0.48218029350104824,506.0,119221.0,86655.0,636.0
79,misspecified_dag_100,41,30,111,0.5,0.75,1.0,428,434,1,478,13,0.16561844863731656,178.0,54677.0,151852.0,311.0
80,original_dag,57,30,215,1.0,0.5,0.0,0,2170,5,589,29,0.9727891156462585,1893.0,236247.0,16976.0,76.0
81,misspecified_dag_75,57,30,225,1.0,0.5,0.75,332,2170,5,589,29,0.37755102040816324,680.0,112804.0,140995.0,713.0
82,misspecified_dag_50,57,30,222,1.0,0.5,0.5,213,2170,5,589,29,0.4642857142857143,720.0,126876.0,126609.0,987.0
83,misspecified_dag_25,57,30,215,1.0,0.5,0.25,106,2170,5,589,29,0.5816326530612245,889.0,162575.0,91084.0,644.0
84,misspecified_dag_100,57,30,214,1.0,0.5,1.0,429,2170,5,589,29,0.35034013605442177,632.0,97564.0,156316.0,680.0
85,original_dag,54,30,219,0.75,0.5,0.0,0,434,1,585,26,0.7123287671232876,980.0,201668.0,50456.0,352.0
86,misspecified_dag_75,54,30,195,0.75,0.5,0.75,326,434,1,585,26,0.3818493150684932,679.0,107361.0,144563.0,853.0
87,misspecified_dag_50,54,30,213,0.75,0.5,0.5,232,434,1,585,26,0.4229452054794521,704.0,126608.0,125560.0,584.0
88,misspecified_dag_25,54,30,207,0.75,0.5,0.25,118,434,1,585,26,0.4674657534246575,697.0,145303.0,106783.0,673.0
89,misspecified_dag_100,54,30,206,0.75,0.5,1.0,425,434,1,585,26,0.273972602739726,545.0,87055.0,165124.0,732.0
90,original_dag,49,30,219,0.5,0.5,0.0,0,4340,10,556,21,1.0,1986.0,238329.0,533.0,22.0
91,misspecified_dag_75,49,30,195,0.5,0.5,0.75,326,4340,10,556,21,0.2036036036036036,176.0,85849.0,154503.0,342.0
92,misspecified_dag_50,49,30,213,0.5,0.5,0.5,232,4340,10,556,21,0.3279279279279279,340.0,117875.0,122328.0,327.0
93,misspecified_dag_25,49,30,207,0.5,0.5,0.25,118,4340,10,556,21,0.4,523.0,137672.0,102301.0,374.0
94,misspecified_dag_100,49,30,206,0.5,0.5,1.0,425,4340,10,556,21,0.16216216216216217,207.0,75828.0,164513.0,322.0
95,original_dag,44,30,219,0.75,0.5,0.0,0,432,1,500,17,0.7835671342685371,1096.0,187526.0,26644.0,302.0
96,misspecified_dag_75,44,30,200,0.75,0.5,0.75,299,432,1,500,17,0.3066132264529058,372.0,94937.0,119852.0,407.0
97,misspecified_dag_50,44,30,201,0.75,0.5,0.5,202,432,1,500,17,0.3787575150300601,480.0,112793.0,101869.0,426.0
98,misspecified_dag_25,44,30,199,0.75,0.5,0.25,106,432,1,500,17,0.43887775551102204,557.0,124692.0,89797.0,522.0
99,misspecified_dag_100,44,30,193,0.75,0.5,1.0,412,432,1,500,17,0.2865731462925852,409.0,78932.0,135772.0,455.0
100,original_dag,37,30,323,0.25,0.75,0.0,0,434,1,458,9,0.9212253829321663,742.0,182058.0,15310.0,228.0
101,misspecified_dag_75,37,30,163,0.25,0.75,0.75,314,434,1,458,9,0.15098468271334792,97.0,74394.0,123659.0,188.0
102,misspecified_dag_50,37,30,218,0.25,0.75,0.5,215,434,1,458,9,0.2363238512035011,181.0,100816.0,97186.0,155.0
103,misspecified_dag_25,37,30,269,0.25,0.75,0.25,106,434,1,458,9,0.40043763676148797,298.0,129947.0,67907.0,186.0
104,misspecified_dag_100,37,30,104,0.25,0.75,1.0,427,434,1,458,9,0.13347921225382933,109.0,48790.0,149326.0,113.0
105,original_dag,32,30,119,0.25,0.25,0.0,0,4290,10,410,6,0.9559902200488998,1345.0,171662.0,2450.0,4.0
106,misspecified_dag_75,32,30,238,0.25,0.25,0.75,295,4290,10,410,6,0.28361858190709044,227.0,68894.0,105897.0,443.0
107,misspecified_dag_50,32,30,209,0.25,0.25,0.5,198,4290,10,410,6,0.4180929095354523,371.0,92881.0,81851.0,358.0
108,misspecified_dag_25,32,30,172,0.25,0.25,0.25,101,4290,10,410,6,0.6234718826405868,573.0,118446.0,56135.0,307.0
109,misspecified_dag_100,32,30,276,0.25,0.25,1.0,395,4290,10,410,6,0.18337408312958436,151.0,59972.0,114908.0,430.0
110,original_dag,47,30,331,0.5,0.75,0.0,0,4350,10,487,18,0.98559670781893,1404.0,206604.0,3371.0,31.0
111,misspecified_dag_75,47,30,163,0.5,0.75,0.75,330,4350,10,487,18,0.3271604938271605,420.0,76368.0,134107.0,515.0
112,misspecified_dag_50,47,30,220,0.5,0.75,0.5,217,4350,10,487,18,0.32510288065843623,347.0,102685.0,108028.0,350.0
113,misspecified_dag_25,47,30,278,0.5,0.75,0.25,109,4350,10,487,18,0.42386831275720166,478.0,136574.0,74070.0,288.0
114,misspecified_dag_100,47,30,104,0.5,0.75,1.0,435,4350,10,487,18,0.1337448559670782,142.0,46514.0,164476.0,278.0
115,original_dag,41,30,214,0.25,0.5,0.0,0,2175,5,494,12,0.9878296146044625,1427.0,210070.0,2918.0,40.0
116,misspecified_dag_75,41,30,200,0.25,0.5,0.75,332,2175,5,494,12,0.29006085192697767,282.0,81556.0,132181.0,436.0
117,misspecified_dag_50,41,30,205,0.25,0.5,0.5,221,2175,5,494,12,0.43204868154158216,471.0,105524.0,108063.0,397.0
118,misspecified_dag_25,41,30,191,0.25,0.5,0.25,117,2175,5,494,12,0.47058823529411764,568.0,125147.0,88394.0,346.0
119,misspecified_dag_100,41,30,221,0.25,0.5,1.0,435,2175,5,494,12,0.16835699797160245,166.0,78221.0,135800.0,268.0
120,original_dag,36,30,204,0.25,0.5,0.0,0,4340,10,478,8,0.9979035639412998,1575.0,204966.0,456.0,21.0
121,misspecified_dag_75,36,30,227,0.25,0.5,0.75,309,4340,10,478,8,0.18238993710691823,159.0,90948.0,115688.0,223.0
122,misspecified_dag_50,36,30,214,0.25,0.5,0.5,196,4340,10,478,8,0.2746331236897275,223.0,100424.0,106118.0,253.0
123,misspecified_dag_25,36,30,217,0.25,0.5,0.25,97,4340,10,478,8,0.49056603773584906,512.0,134479.0,71755.0,272.0
124,misspecified_dag_100,36,30,224,0.25,0.5,1.0,428,4340,10,478,8,0.12578616352201258,115.0,83360.0,123358.0,185.0
125,original_dag,55,30,232,1.0,0.5,0.0,0,2160,5,546,28,0.9871559633027523,1700.0,216845.0,16720.0,175.0
126,misspecified_dag_75,55,30,197,1.0,0.5,0.75,325,2160,5,546,28,0.5064220183486239,702.0,94128.0,139882.0,728.0
127,misspecified_dag_50,55,30,202,1.0,0.5,0.5,222,2160,5,546,28,0.5467889908256881,792.0,115838.0,118024.0,786.0
128,misspecified_dag_25,55,30,217,1.0,0.5,0.25,111,2160,5,546,28,0.6293577981651376,917.0,147323.0,86534.0,666.0
129,misspecified_dag_100,55,30,180,1.0,0.5,1.0,412,2160,5,546,28,0.45137614678899085,675.0,81075.0,153031.0,659.0
130,original_dag,44,30,435,0.5,1.0,0.0,0,4350,10,436,15,0.9862068965517241,848.0,183157.0,5182.0,38.0
131,misspecified_dag_75,44,30,122,0.5,1.0,0.75,313,4350,10,436,15,0.12643678160919541,82.0,56903.0,132121.0,119.0
132,misspecified_dag_50,44,30,233,0.5,1.0,0.5,202,4350,10,436,15,0.16091954022988506,101.0,102124.0,86883.0,117.0
133,misspecified_dag_25,44,30,344,0.5,1.0,0.25,91,4350,10,436,15,0.3195402298850575,286.0,146309.0,42510.0,120.0
134,misspecified_dag_100,44,30,0,0.5,1.0,1.0,435,4350,10,436,15,0.06206896551724138,61.0,6899.0,182127.0,138.0
135,original_dag,36,30,215,0.25,0.5,0.0,0,4340,10,467,8,1.0,1476.0,200768.0,0.0,0.0
136,misspecified_dag_75,36,30,225,0.25,0.5,0.75,332,4340,10,467,8,0.16738197424892703,109.0,88897.0,113035.0,203.0
137,misspecified_dag_50,36,30,222,0.25,0.5,0.5,213,4340,10,467,8,0.23605150214592274,180.0,102340.0,99520.0,204.0
138,misspecified_dag_25,36,30,215,0.25,0.5,0.25,106,4340,10,467,8,0.45064377682403434,397.0,123559.0,78030.0,258.0
139,misspecified_dag_100,36,30,214,0.25,0.5,1.0,429,4340,10,467,8,0.0944206008583691,75.0,77281.0,124723.0,165.0
140,original_dag,48,30,110,0.75,0.25,0.0,0,434,1,558,20,0.7450628366247756,1116.0,223912.0,16607.0,103.0
141,misspecified_dag_75,48,30,266,0.75,0.25,0.75,314,434,1,558,20,0.3734290843806104,414.0,84807.0,155880.0,637.0
142,misspecified_dag_50,48,30,218,0.75,0.25,0.5,216,434,1,558,20,0.466786355475763,544.0,116983.0,123765.0,446.0
143,misspecified_dag_25,48,30,157,0.75,0.25,0.25,111,434,1,558,20,0.5296229802513465,658.0,162543.0,78152.0,385.0
144,misspecified_dag_100,48,30,314,0.75,0.25,1.0,424,434,1,558,20,0.24236983842010773,350.0,64819.0,176001.0,568.0
145,original_dag,53,30,323,0.75,0.75,0.0,0,4340,10,510,25,0.9862475442043221,1447.0,208261.0,11101.0,97.0
146,misspecified_dag_75,53,30,163,0.75,0.75,0.75,314,4340,10,510,25,0.24165029469548133,227.0,81213.0,139148.0,318.0
147,misspecified_dag_50,53,30,218,0.75,0.75,0.5,215,4340,10,510,25,0.3988212180746562,445.0,109499.0,110482.0,480.0
148,misspecified_dag_25,53,30,269,0.75,0.75,0.25,106,4340,10,510,25,0.4538310412573674,483.0,140510.0,79578.0,335.0
149,misspecified_dag_100,53,30,104,0.75,0.75,1.0,427,4340,10,510,25,0.25147347740667975,225.0,50675.0,169704.0,302.0
150,original_dag,36,30,435,0.25,1.0,0.0,0,4350,10,436,7,0.9954022988505747,682.0,185498.0,2964.0,81.0
151,misspecified_dag_75,36,30,111,0.25,1.0,0.75,324,4350,10,436,7,0.029885057471264367,14.0,47836.0,141328.0,47.0
152,misspecified_dag_50,36,30,211,0.25,1.0,0.5,224,4350,10,436,7,0.09425287356321839,57.0,91728.0,97384.0,56.0
153,misspecified_dag_25,36,30,329,0.25,1.0,0.25,106,4350,10,436,7,0.28045977011494255,154.0,142961.0,46069.0,41.0
154,misspecified_dag_100,36,30,0,0.25,1.0,1.0,435,4350,10,436,7,0.022988505747126436,21.0,2154.0,187002.0,48.0
155,original_dag,41,30,331,0.5,0.75,0.0,0,4350,10,468,12,0.9978586723768736,1183.0,201495.0,467.0,0.0
156,misspecified_dag_75,41,30,166,0.5,0.75,0.75,331,4350,10,468,12,0.11349036402569593,80.0,71371.0,131592.0,102.0
157,misspecified_dag_50,41,30,213,0.5,0.75,0.5,214,4350,10,468,12,0.2291220556745182,178.0,97425.0,105396.0,146.0
158,misspecified_dag_25,41,30,279,0.5,0.75,0.25,110,4350,10,468,12,0.3640256959314775,288.0,136543.0,66172.0,142.0
159,misspecified_dag_100,41,30,104,0.5,0.75,1.0,435,4350,10,468,12,0.08137044967880086,51.0,46649.0,156371.0,74.0
160,original_dag,57,30,329,1.0,0.75,0.0,0,2170,5,509,29,0.9566929133858267,1330.0,203902.0,15102.0,138.0
161,misspecified_dag_75,57,30,162,1.0,0.75,0.75,315,2170,5,509,29,0.26968503937007876,299.0,85553.0,134375.0,245.0
162,misspecified_dag_50,57,30,212,1.0,0.75,0.5,205,2170,5,509,29,0.2992125984251969,336.0,109392.0,110329.0,415.0
163,misspecified_dag_25,57,30,265,1.0,0.75,0.25,102,2170,5,509,29,0.5,564.0,144724.0,74786.0,398.0
164,misspecified_dag_100,57,30,97,1.0,0.75,1.0,426,2170,5,509,29,0.2125984251968504,270.0,52054.0,167829.0,319.0
165,original_dag,59,30,435,1.0,1.0,0.0,0,435,1,436,30,0.7609195402298851,1083.0,118542.0,68991.0,609.0
166,misspecified_dag_75,59,30,117,1.0,1.0,0.75,318,435,1,436,30,0.30344827586206896,317.0,60583.0,127970.0,355.0
167,misspecified_dag_50,59,30,218,1.0,1.0,0.5,217,435,1,436,30,0.4206896551724138,449.0,96121.0,92191.0,464.0
168,misspecified_dag_25,59,30,323,1.0,1.0,0.25,112,435,1,436,30,0.696551724137931,966.0,127359.0,60260.0,640.0
169,misspecified_dag_100,59,30,0,1.0,1.0,1.0,435,435,1,436,30,0.14482758620689656,136.0,14654.0,174154.0,281.0
170,original_dag,37,30,232,0.25,0.5,0.0,0,4320,10,452,10,0.9977827050997783,1306.0,192624.0,870.0,32.0
171,misspecified_dag_75,37,30,197,0.25,0.5,0.75,325,4320,10,452,10,0.17960088691796008,136.0,77887.0,116552.0,257.0
172,misspecified_dag_50,37,30,202,0.25,0.5,0.5,222,4320,10,452,10,0.28824833702882485,242.0,96272.0,98102.0,216.0
173,misspecified_dag_25,37,30,217,0.25,0.5,0.25,111,4320,10,452,10,0.49223946784922396,430.0,123595.0,70499.0,308.0
174,misspecified_dag_100,37,30,180,0.25,0.5,1.0,412,4320,10,452,10,0.13082039911308205,131.0,65715.0,128797.0,189.0
175,original_dag,55,30,346,0.75,0.75,0.0,0,2175,5,513,26,0.9453125,1111.0,201641.0,19767.0,201.0
176,misspecified_dag_75,55,30,128,0.75,0.75,0.75,342,2175,5,513,26,0.123046875,105.0,65431.0,156951.0,233.0
177,misspecified_dag_50,55,30,213,0.75,0.75,0.5,205,2175,5,513,26,0.23046875,203.0,105781.0,116501.0,235.0
178,misspecified_dag_25,55,30,285,0.75,0.75,0.25,97,2175,5,513,26,0.466796875,525.0,150515.0,71447.0,233.0
179,misspecified_dag_100,55,30,89,0.75,0.75,1.0,435,2175,5,513,26,0.1328125,103.0,45977.0,176500.0,140.0
180,original_dag,44,30,435,0.5,1.0,0.0,0,435,1,436,15,0.8275862068965517,882.0,145713.0,42413.0,217.0
181,misspecified_dag_75,44,30,111,0.5,1.0,0.75,324,435,1,436,15,0.1839080459770115,175.0,54635.0,134234.0,181.0
182,misspecified_dag_50,44,30,211,0.5,1.0,0.5,224,435,1,436,15,0.367816091954023,299.0,93226.0,95511.0,189.0
183,misspecified_dag_25,44,30,329,0.5,1.0,0.25,106,435,1,436,15,0.4298850574712644,449.0,125701.0,62728.0,347.0
184,misspecified_dag_100,44,30,0,0.5,1.0,1.0,435,435,1,436,15,0.04827586206896552,125.0,14665.0,174312.0,123.0
185,original_dag,53,30,435,0.75,1.0,0.0,0,435,1,436,24,0.6988505747126437,676.0,121124.0,67165.0,260.0
186,misspecified_dag_75,53,30,97,0.75,1.0,0.75,338,435,1,436,24,0.2620689655172414,262.0,52373.0,136212.0,378.0
187,misspecified_dag_50,53,30,226,0.75,1.0,0.5,209,435,1,436,24,0.3586206896551724,370.0,93155.0,95182.0,518.0
188,misspecified_dag_25,53,30,337,0.75,1.0,0.25,98,435,1,436,24,0.5379310344827586,595.0,128600.0,59687.0,343.0
189,misspecified_dag_100,53,30,0,0.75,1.0,1.0,435,435,1,436,24,0.10804597701149425,310.0,14480.0,174019.0,416.0
190,original_dag,37,30,329,0.5,0.75,0.0,0,434,1,449,9,0.9151785714285714,766.0,173954.0,19513.0,199.0
191,misspecified_dag_75,37,30,162,0.5,0.75,0.75,315,434,1,449,9,0.16964285714285715,170.0,73750.0,120310.0,202.0
192,misspecified_dag_50,37,30,212,0.5,0.75,0.5,205,434,1,449,9,0.296875,279.0,100521.0,93425.0,207.0
193,misspecified_dag_25,37,30,265,0.5,0.75,0.25,102,434,1,449,9,0.38169642857142855,274.0,122926.0,70997.0,235.0
194,misspecified_dag_100,37,30,97,0.5,0.75,1.0,426,434,1,449,9,0.09375,126.0,46466.0,147604.0,236.0
195,original_dag,59,30,435,1.0,1.0,0.0,0,2175,5,436,30,0.9264367816091954,1243.0,165362.0,22422.0,198.0
196,misspecified_dag_75,59,30,115,1.0,1.0,0.75,320,2175,5,436,30,0.22528735632183908,170.0,50725.0,137968.0,362.0
197,misspecified_dag_50,59,30,209,1.0,1.0,0.5,226,2175,5,436,30,0.3793103448275862,427.0,93533.0,95009.0,256.0
198,misspecified_dag_25,59,30,304,1.0,1.0,0.25,131,2175,5,436,30,0.4781609195402299,397.0,130973.0,57701.0,154.0
199,misspecified_dag_100,59,30,0,1.0,1.0,1.0,435,2175,5,436,30,0.1103448275862069,178.0,6782.0,181843.0,422.0
200,original_dag,37,30,100,0.5,0.25,0.0,0,4140,10,426,14,0.9976470588235294,1335.0,172915.0,1693.0,7.0
201,misspecified_dag_75,37,30,229,0.5,0.25,0.75,255,4140,10,426,14,0.4023529411764706,350.0,70200.0,104830.0,570.0
202,misspecified_dag_50,37,30,177,0.5,0.25,0.5,175,4140,10,426,14,0.5694117647058824,553.0,93797.0,81034.0,566.0
203,misspecified_dag_25,37,30,145,0.5,0.25,0.25,83,4140,10,426,14,0.7411764705882353,872.0,128753.0,45958.0,367.0
204,misspecified_dag_100,37,30,248,0.5,0.25,1.0,348,4140,10,426,14,0.2917647058823529,265.0,44785.0,130242.0,658.0
205,original_dag,33,30,119,0.25,0.25,0.0,0,432,1,445,6,0.9369369369369369,1531.0,186725.0,3513.0,39.0
206,misspecified_dag_75,33,30,249,0.25,0.25,0.75,316,432,1,445,6,0.36711711711711714,381.0,81315.0,109605.0,507.0
207,misspecified_dag_50,33,30,207,0.25,0.25,0.5,220,432,1,445,6,0.4774774774774775,502.0,94514.0,96279.0,513.0
