,dag,mccabe,dag_nodes,dag_edges,p_conditional,p_edge,p_invert_edge,structural_hamming_distance,total_tests,n_tests,num_jobs,new_mccabe,mutation_score,true_positives,true_negatives,false_positives,false_negatives
4583,misspecified_dag_25,36,30,214,0.25,0.5,0.25,96,2170,5,457,8,0.4342105263157895,428.0,125884.0,71390.0,202.0
4584,misspecified_dag_100,36,30,188,0.25,0.5,1.0,420,2170,5,457,8,0.13815789473684212,124.0,74660.0,122957.0,163.0
4585,original_dag,37,30,435,0.25,1.0,0.0,0,2175,5,436,8,0.967816091954023,657.0,181173.0,7359.0,36.0
4586,misspecified_dag_75,37,30,94,0.25,1.0,0.75,341,2175,5,436,8,0.167816091954023,176.0,45499.0,143435.0,115.0
4587,misspecified_dag_50,37,30,199,0.25,1.0,0.5,236,2175,5,436,8,0.14942528735632185,81.0,87354.0,101653.0,137.0
4588,misspecified_dag_25,37,30,316,0.25,1.0,0.25,119,2175,5,436,8,0.31264367816091954,222.0,134628.0,54234.0,141.0
4589,misspecified_dag_100,37,30,0,0.25,1.0,1.0,435,2175,5,436,8,0.041379310344827586,21.0,2154.0,186922.0,128.0
4590,original_dag,38,30,336,0.25,0.75,0.0,0,435,1,463,9,0.8982683982683982,719.0,181771.0,18308.0,172.0
4591,misspecified_dag_75,38,30,146,0.25,0.75,0.75,336,435,1,463,9,0.21645021645021645,220.0,70466.0,130045.0,239.0
4592,misspecified_dag_50,38,30,212,0.25,0.75,0.5,220,435,1,463,9,0.2813852813852814,240.0,104172.0,96291.0,267.0
4593,misspecified_dag_25,38,30,288,0.25,0.75,0.25,106,435,1,463,9,0.43722943722943725,414.0,140496.0,59805.0,255.0
4594,misspecified_dag_100,38,30,99,0.25,0.75,1.0,435,435,1,463,9,0.1471861471861472,181.0,52949.0,147664.0,176.0
4595,original_dag,45,30,237,0.5,0.5,0.0,0,4350,10,518,16,0.9922630560928434,1591.0,220202.0,3073.0,29.0
4596,misspecified_dag_75,45,30,201,0.5,0.5,0.75,324,4350,10,518,16,0.2572533849129594,276.0,93301.0,131016.0,302.0
